dial_name,turn_id,context,query,gold,s2s,larl,mog,message
MUL0842.json,5,"U1: can you help me find a place to eat ? i am looking for somewhere in the [value_area] with a [value_pricerange] price .<br/>S1: there is the [restaurant_name] and [restaurant_name] restuarants serving [value_food] food . then there is the [restaurant_name] serving [value_food] food . which would you like more information on ?<br/>U2: i think i would like to try [attraction_name] . could you book me a table for [value_count] on [value_day] at [value_time] ?<br/>S2: your reservation has been booked . your reference number is [attraction_reference] . please be aware that your table will only be reserved until [value_time] . can i provide any more assistance ?<br/>U3: i am also looking for things to do in the same general area as the restaurant .<br/>S3: sure , are you interested in museums , sports , parks , entertainment , swimming or boating ?<br/>U4: are there any cinemas ? if there is not what about something that has to do with multiple sports ?<br/>S4: there are not any cinemas in the general area , but what types of sports are you interested in ?<br/>U5: all of them . what s there ?<br/>S5: [attraction_name] is the only [value_count] located there , their address is [attraction_address] . anything else i can help you with ?",can i please get the phone number ?,"yes , the phone number is [attraction_phone] . how else can i help ?",the phone number is [attraction_phone] .,the phone number is [attraction_phone] and the postcode is [attraction_postcode] .,the phone number is [attraction_phone] . is there anything else i can help you with ?,"You are traveling to Cambridge and excited about seeing local tourist attractions<br/>You are looking for a <span class='emphasis'>place to dine</span>. The restaurant should be in the <span class='emphasis'>east</span> and should be in the <span class='emphasis'>moderate</span> price range<br/>Once you find the <span class='emphasis'>restaurant</span> you want to book a table for <span class='emphasis'>1 people</span> at <span class='emphasis'>16:15</span> on <span class='emphasis'>monday</span><br/>Make sure you get the <span class='emphasis'>reference number</span><br/>You are also looking for <span class='emphasis'>places to go</span> in town. The attraction should be <span class='emphasis'>in the same area as the restaurant</span> and should be in the type of <span class='emphasis'>cinema</span><br/>If there is no such attraction, how about one that is in <span class='emphasis'>the type of mutliple sports</span><br/>Make sure you get <span class='emphasis'>phone number</span>"
PMUL1284.json,0,nan,"yes , i would like an [value_pricerange] hotel in the center and what type of attraction is in the area in walking distance ?",would you like me to find a hotel first or the attraction ?,i have [value_count] guesthouses that meet your criteria . [value_count] is [value_pricerange] and [value_count] is [value_pricerange] . do you have a preference ?,the [hotel_name] is in the [value_area] part of town and is in the [value_pricerange] price range . their phone number is [hotel_phone] .,[hotel_name] is a [value_pricerange] -ly priced [value_count] star hotel in the [value_area] .,"You are looking for information in Cambridge<br/>You are looking for a <span class='emphasis'>train</span>. The train should depart from <span class='emphasis'>kings lynn</span> and should <span class='emphasis'>leave after 19:15</span><br/>The train should leave on <span class='emphasis'>tuesday</span> and should go to <span class='emphasis'>cambridge</span><br/>Once you find the train you want to make a booking for <span class='emphasis'>4 people</span><br/>Make sure you get the <span class='emphasis'>reference number</span><br/>You are also looking for <span class='emphasis'>places to go</span> in town. The attraction should be in the <span class='emphasis'>centre</span> and should be in the type of <span class='emphasis'>entertainment</span><br/>If there is no such attraction, how about one that is in <span class='emphasis'>the type of theatre</span><br/>Make sure you get <span class='emphasis'>phone number</span>, <span class='emphasis'>address</span>, and <span class='emphasis'>postcode</span>"
PMUL2746.json,0,nan,i am looking for a place -s to stay in [value_area] [value_place] that offer free parking for guests .,there are several that offer that . do you have a price range you would like or area of town you would like to stay in ?,i have [value_count] hotel -s that meet your criteria . do you have a price range in mind ?,there are [value_count] hotel -s that meet your criteria . do you have a preference for the area of town you want to stay in ?,i have found [value_count] hotel -s that match your request . is there a particular area you would like to stay in ?,"You are planning your trip in Cambridge<br/>You are looking for a <span class='emphasis'>place to stay</span>. The hotel should be in the <span class='emphasis'>south</span> and should <span class='emphasis'>include free parking</span><br/>The hotel should be in the <span class='emphasis'>moderate</span> price range<br/>Once you find the <span class='emphasis'>hotel</span> you want to book it for <span class='emphasis'>3 people</span> and <span class='emphasis'>5 nights</span> starting from <span class='emphasis'>friday</span><br/>If the booking fails how about <span class='emphasis'>1 nights</span><br/>Make sure you get the <span class='emphasis'>reference number</span><br/>You are also looking for <span class='emphasis'>places to go</span> in town. The attraction should be in the type of <span class='emphasis'>college</span> and should be <span class='emphasis'>in the same area as the hotel</span><br/>If there is no such attraction, how about one that is in <span class='emphasis'>the type of entertainment</span><br/>Make sure you get <span class='emphasis'>postcode</span>"
PMUL2491.json,0,nan,i am looking for a [value_pricerange] restaurant that serves [value_food] food .,i have a listing for on in he [value_area] of town would that be okay ?,[restaurant_name] is a [value_food] restaurant in the [value_area] part of town . would you like more information ?,[restaurant_name] is a [value_food] restaurant in the [value_area] part of town . their phone number is [restaurant_phone] and their postcode is [restaurant_postcode] .,[restaurant_name] is an [value_pricerange] [value_food] restaurant in the [value_area] part of town . would you like to book a table ?,You are looking for information in Cambridge<br/>You are looking for a <span class='emphasis'>place to dine</span>. The restaurant should be in the <span class='emphasis'>expensive</span> price range and should serve <span class='emphasis'>modern european</span> food<br/>The restaurant should be in the <span class='emphasis'>centre</span><br/>Make sure you get <span class='emphasis'>address</span> and <span class='emphasis'>phone number</span><br/>You are also looking for <span class='emphasis'>places to go</span> in town. The attraction should be in the type of <span class='emphasis'>theatre</span> and should be <span class='emphasis'>in the same area as the restaurant</span><br/>Make sure you get <span class='emphasis'>address</span>
MUL0978.json,0,nan,i am looking for a [value_food] restaurant in the [value_area] of town .,"sure , there are [value_count] [value_food] restaurant -s in the [value_area] of town , do you have a price range in mind ?",i have [value_count] [value_food] restaurant -s in the [value_area] of town . do you have a price range in mind ?,[restaurant_name] is a [value_food] restaurant in the [value_area] part of town . their phone number is [restaurant_phone] and their postcode is [restaurant_postcode] .,there are [value_count] restaurant -s that match your request . is there a particular price range you are looking for ?,"You are planning your trip in Cambridge<br/>You are looking for a <span class='emphasis'>restaurant</span>. The restaurant should serve <span class='emphasis'>chinese</span> food and should be in the <span class='emphasis'>centre</span><br/>Make sure you get <span class='emphasis'>price range</span> and <span class='emphasis'>postcode</span><br/>You are also looking for <span class='emphasis'>places to go</span> in town. The attraction should be <span class='emphasis'>in the same area as the restaurant</span><br/>Make sure you get <span class='emphasis'>phone number</span>, <span class='emphasis'>postcode</span>, and <span class='emphasis'>attraction type</span><br/>You also want to book a <span class='emphasis'>taxi</span> to commute between the two places<br/>You want to leave the <span class='emphasis'>attraction</span> by <span class='emphasis'>21:30</span><br/>Make sure you get <span class='emphasis'>contact number</span> and <span class='emphasis'>car type</span>"
PMUL3778.json,0,nan,i am looking for an [value_pricerange] restaurant in the [value_area] part of town .,there are [value_count] [value_pricerange] restaurant -s in the [value_area] of town . did you have a type of food in mind ?,there are [value_count] restaurant -s that meet your criteria . is there a type of cuisine you are looking to dine ?,[restaurant_name] is a [value_food] restaurant in the [value_area] part of town . their phone number is [restaurant_phone] and their postcode is [restaurant_postcode] .,there are [value_count] [value_pricerange] restaurant -s in the [value_area] part of town . is there a particular type of food you would like ?,"You are traveling to Cambridge and excited about seeing local tourist attractions<br/>You are looking for a <span class='emphasis'>place to dine</span>. The restaurant should be in the <span class='emphasis'>centre</span> and should be in the <span class='emphasis'>expensive</span> price range<br/>Make sure you get <span class='emphasis'>food type</span> and <span class='emphasis'>postcode</span><br/>You are also looking for a <span class='emphasis'>particular attraction</span>. Its name is called <span class='emphasis'>saint catharine's college</span><br/>Make sure you get <span class='emphasis'>phone number</span>, <span class='emphasis'>attraction type</span>, and <span class='emphasis'>address</span><br/>You also want to book a <span class='emphasis'>taxi</span> to commute between the two places<br/>You want to leave the <span class='emphasis'>restaurant</span> by <span class='emphasis'>18:15</span><br/>Make sure you get <span class='emphasis'>contact number</span> and <span class='emphasis'>car type</span>"
PMUL2146.json,1,U1: i need to find a restaurant in the [value_area] .<br/>S1: do you prefer a particular type of food or are you looking at a specific price range ?,i would like [value_food] food . i have no preference of price range .,there are [value_count] attraction -s which meet your needs . [attraction_name] is located at [value_count] kings parade and serves [value_pricerange] priced meal -s . would you like to make reservations ?,i have [value_count] [value_food] restaurant -s in the [value_pricerange] price range . do you have a preference on price range ?,[restaurant_name] is a [value_food] restaurant in the [value_area] part of town . their phone number is [restaurant_phone] and their postcode is [restaurant_postcode] .,[restaurant_name] is a [value_food] restaurant in the [value_area] part of town . would you like me to book it for you ?,"You are traveling to Cambridge and looking forward to try local restaurants<br/>You are looking for a <span class='emphasis'>place to dine</span>. The restaurant should be in the <span class='emphasis'>centre</span> and should serve <span class='emphasis'>british</span> food<br/>Once you find the <span class='emphasis'>restaurant</span> you want to book a table for <span class='emphasis'>6 people</span> at <span class='emphasis'>18:15</span> on <span class='emphasis'>monday</span><br/>Make sure you get the <span class='emphasis'>reference number</span><br/>You are also looking for <span class='emphasis'>places to go</span> in town. The attraction should be in the type of <span class='emphasis'>boat</span><br/>Make sure you get <span class='emphasis'>postcode</span>, <span class='emphasis'>address</span>, and <span class='emphasis'>area</span><br/>You also want to book a <span class='emphasis'>taxi</span> to commute between the two places<br/>You want to make sure it arrives the restaurant <span class='emphasis'>by the booked time</span><br/>Make sure you get <span class='emphasis'>contact number</span> and <span class='emphasis'>car type</span>"
PMUL2578.json,0,nan,"hello , i am looking for some sports arenas to go to in [value_place] that s located in the [value_area] . i like all different sports , so please tell me everything that is available .",i do not have any sports located in the [value_area] . may i try a different area ?,"i am sorry , there are no _UNK _UNK in the [value_area] . would you like to try a different area ?",[attraction_name] is located at [attraction_address] and the postcode is [attraction_postcode] . their phone number is [attraction_phone] .,"i am sorry , there are no _UNK in the [value_area] . would you like to try a different area ?","You are planning your trip in Cambridge<br/>You are looking for <span class='emphasis'>places to go</span> in town. The attraction should be in the <span class='emphasis'>centre</span> and should be in the type of <span class='emphasis'>mutliple sports</span><br/>If there is no such attraction, how about one that is in <span class='emphasis'>the type of boat</span><br/>Make sure you get <span class='emphasis'>postcode</span> and <span class='emphasis'>address</span><br/>You are also looking for a <span class='emphasis'>particular hotel</span>. Its name is called <span class='emphasis'>gonville hotel</span><br/>Make sure you get <span class='emphasis'>phone number</span><br/>You also want to book a <span class='emphasis'>taxi</span> to commute between the two places<br/>You want to leave the <span class='emphasis'>attraction</span> by <span class='emphasis'>06:15</span><br/>Make sure you get <span class='emphasis'>contact number</span> and <span class='emphasis'>car type</span>"
PMUL0410.json,1,"U1: hi , i am looking for an [value_pricerange] restaurant that serves moroccan food in [value_place] please .<br/>S1: i am sorry , there are no [value_pricerange] moroccan restaurant -s in [value_place] .","ok , how about [value_food] food then ?","there are several . if you do not have a preference as to where in town you eat , might i suggest [restaurant_name] ?",there are [value_count] [value_food] restaurant -s in the [value_pricerange] price range . do you have a price range in mind ?,[restaurant_name] is a [value_food] restaurant in the [value_area] part of town . their phone number is [restaurant_phone] and their postcode is [restaurant_postcode] .,there are [value_count] [value_food] restaurant -s in the [value_area] part of town . would you like me to book [value_count] for you ?,"You are traveling to Cambridge and looking forward to try local restaurants<br/>You are looking for a <span class='emphasis'>restaurant</span>. The restaurant should be in the <span class='emphasis'>expensive</span> price range and should serve <span class='emphasis'>moroccan</span> food<br/>If there is no such restaurant, how about one that serves <span class='emphasis'>chinese</span> food<br/>Once you find the <span class='emphasis'>restaurant</span> you want to book a table for <span class='emphasis'>1 people</span> at <span class='emphasis'>13:45</span> on <span class='emphasis'>friday</span><br/>Make sure you get the <span class='emphasis'>reference number</span><br/>You are also looking for a <span class='emphasis'>place to stay</span>. The hotel should be in the <span class='emphasis'>same price range as the restaurant</span> and should be in the <span class='emphasis'>east</span><br/>The hotel should be in the type of <span class='emphasis'>hotel</span><br/>Once you find the <span class='emphasis'>hotel</span> you want to book it for <span class='emphasis'>the same group of people</span> and <span class='emphasis'>3 nights</span> starting from <span class='emphasis'>the same day</span><br/>If the booking fails how about <span class='emphasis'>2 nights</span><br/>Make sure you get the <span class='emphasis'>reference number</span>"
MUL1268.json,3,"U1: hi there . i would like to find a place to dine in the city [value_area] , preferable with sri lankan food . do you have any recommendations ?<br/>S1: sorry , i do not have any restaurant -s with sri lankan food in the [value_area] . would you like to try another type of food ?<br/>U2: could you try again ? [value_pricerange] -ly priced , perhaps ?<br/>S2: sorry , there was nothing found . do you want to try a different kind of food ?<br/>U3: how about [value_food] food ?<br/>S3: there are [value_count] options for [value_food] food in [value_area] in the [value_pricerange] price range . may i suggest [hotel_name] ?",sure ! could you tell me the address including the postcode and phone number please ?,"sure , they are located at the [hotel_address] in postcode [hotel_postcode] . their phone number is [hotel_phone] . can i help with anything else today ?","[restaurant_name] is located at [restaurant_address] , [restaurant_postcode] . their phone number is [restaurant_phone] . can i help you with anything else ?","the address is [restaurant_address] , postcode [restaurant_postcode] . the phone number is [restaurant_phone] .",the address for [restaurant_name] is [restaurant_address] and the phone number is [restaurant_phone] .,"You are traveling to Cambridge and looking forward to try local restaurants<br/>You are looking for a <span class='emphasis'>place to dine</span>. The restaurant should be in the <span class='emphasis'>centre</span> and should serve <span class='emphasis'>sri lankan</span> food<br/>The restaurant should be in the <span class='emphasis'>moderate</span> price range<br/>If there is no such restaurant, how about one that serves <span class='emphasis'>modern european</span> food<br/>Make sure you get <span class='emphasis'>postcode</span>, <span class='emphasis'>phone number</span>, and <span class='emphasis'>address</span><br/>You are also looking for a <span class='emphasis'>place to stay</span>. The hotel <span class='emphasis'>doesn't need to have free parking</span> and should be in the type of <span class='emphasis'>guesthouse</span><br/>The hotel should be <span class='emphasis'>in the same area as the restaurant</span> and should be in the <span class='emphasis'>same price range as the restaurant</span><br/>If there is no such hotel, how about one that is in <span class='emphasis'>the type of hotel</span><br/>Make sure you get <span class='emphasis'>postcode</span>, <span class='emphasis'>phone number</span>, and <span class='emphasis'>address</span><br/>You also want to book a <span class='emphasis'>taxi</span> to commute between the two places<br/>You want to leave the <span class='emphasis'>restaurant</span> by <span class='emphasis'>16:15</span><br/>Make sure you get <span class='emphasis'>contact number</span> and <span class='emphasis'>car type</span>"
MUL2410.json,0,nan,"i would like to find a park attraction , please .",there are [value_count] options . what area would you like ?,"there are [value_count] museums in the [value_area] , [value_count] in the [value_area] , and [value_count] in the [value_area] . do you have a preference ?","[attraction_name] is located at [attraction_address] , postcode [attraction_postcode] . their phone number is [attraction_phone] .",there are [value_count] _UNK in the [value_area] of town . would you like to narrow it down by area ?,"You are planning your trip in Cambridge<br/>You are looking for <span class='emphasis'>places to go</span> in town. The attraction should be in the type of <span class='emphasis'>park</span><br/>Make sure you get <span class='emphasis'>entrance fee</span>, <span class='emphasis'>postcode</span>, and <span class='emphasis'>area</span><br/>You are also looking for a <span class='emphasis'>particular restaurant</span>. Its name is called <span class='emphasis'>the nirala</span><br/>Make sure you get <span class='emphasis'>postcode</span>"
PMUL3465.json,0,nan,"i will be in the [value_area] this week and know i will want to catch a movie , what cinema s are in that area ?",there is a great cinema on the [value_area] side called [attraction_name] . the are located at [attraction_address] . their phone number is [attraction_phone] . is there anything else ?,[attraction_name] is located in the [value_area] part of town .,[attraction_name] is located at [attraction_address] and the postcode is [attraction_postcode] . their phone number is [attraction_phone] .,[attraction_name] is in the [value_area] . it is in the [value_area] . the address is [attraction_address] .,"You are looking for information in Cambridge<br/>You are looking for <span class='emphasis'>places to go</span> in town. The attraction should be in the <span class='emphasis'>south</span> and should be in the type of <span class='emphasis'>cinema</span><br/>Make sure you get <span class='emphasis'>entrance fee</span>, <span class='emphasis'>address</span>, and <span class='emphasis'>postcode</span><br/>You are also looking for a <span class='emphasis'>train</span>. The train should <span class='emphasis'>leave after 16:45</span> and should leave on <span class='emphasis'>sunday</span><br/>The train should go to <span class='emphasis'>norwich</span> and should depart from <span class='emphasis'>cambridge</span><br/>Once you find the train you want to make a booking for <span class='emphasis'>7 people</span><br/>Make sure you get the <span class='emphasis'>reference number</span>"
